ID,Tax,Year,KO,LogFC,Contrast
Diatom-K00012,Diatom,2018,K00012,-0.995856034,day11
Diatom-K00022,Diatom,2018,K00022,2.84798896,day11
Diatom-K00033,Diatom,2018,K00033,1.495421564,day11
Diatom-K00036,Diatom,2018,K00036,0.679186218,day11
Diatom-K00053,Diatom,2018,K00053,-0.745434948,day11
Diatom-K00218,Diatom,2018,K00218,-0.748661239,day11
Diatom-K00248,Diatom,2018,K00248,1.109522849,day11
Diatom-K00264,Diatom,2018,K00264,1.375412848,day11
Diatom-K00323,Diatom,2018,K00323,1.461045322,day11
Diatom-K00327,Diatom,2018,K00327,-0.935312737,day11
Diatom-K00340,Diatom,2018,K00340,3.118335029,day11
Diatom-K00469,Diatom,2018,K00469,1.899580122,day11
Diatom-K00485,Diatom,2018,K00485,2.776113732,day11
Diatom-K00521,Diatom,2018,K00521,1.500106549,day11
Diatom-K00616,Diatom,2018,K00616,1.523335594,day11
Diatom-K00710,Diatom,2018,K00710,2.728894985,day11
Diatom-K00731,Diatom,2018,K00731,1.847568958,day11
Diatom-K00757,Diatom,2018,K00757,-7.901293801,day11
Diatom-K00801,Diatom,2018,K00801,-2.93460606,day11
Diatom-K00814,Diatom,2018,K00814,-0.946570908,day11
Diatom-K00856,Diatom,2018,K00856,1.358826447,day11
Diatom-K00873,Diatom,2018,K00873,-0.459981627,day11
Diatom-K00895,Diatom,2018,K00895,-1.17546079,day11
Diatom-K00927,Diatom,2018,K00927,-0.341174426,day11
Diatom-K00965,Diatom,2018,K00965,-6.781537462,day11
Diatom-K01006,Diatom,2018,K01006,2.433206951,day11
Diatom-K01011,Diatom,2018,K01011,2.732759278,day11
Diatom-K01061,Diatom,2018,K01061,-6.350634243,day11
Diatom-K01179,Diatom,2018,K01179,1.844930646,day11
Diatom-K01183,Diatom,2018,K01183,0.653288084,day11
Diatom-K01225,Diatom,2018,K01225,7.085982311,day11
Diatom-K01251,Diatom,2018,K01251,-0.909943937,day11
Diatom-K01256,Diatom,2018,K01256,-1.342405138,day11
Diatom-K01315,Diatom,2018,K01315,1.274902699,day11
Diatom-K01341,Diatom,2018,K01341,5.977620391,day11
Diatom-K01490,Diatom,2018,K01490,-1.119335041,day11
Diatom-K01534,Diatom,2018,K01534,-2.349022264,day11
Diatom-K01535,Diatom,2018,K01535,-2.634788205,day11
Diatom-K01581,Diatom,2018,K01581,1.603885384,day11
Diatom-K01610,Diatom,2018,K01610,1.105321901,day11
Diatom-K01623,Diatom,2018,K01623,-1.350811724,day11
Diatom-K01626,Diatom,2018,K01626,1.006641917,day11
Diatom-K01637,Diatom,2018,K01637,1.894396709,day11
Diatom-K01655,Diatom,2018,K01655,-4.483842479,day11
Diatom-K01738,Diatom,2018,K01738,0.959481235,day11
Diatom-K01783,Diatom,2018,K01783,1.260907784,day11
Diatom-K01792,Diatom,2018,K01792,0.577893495,day11
Diatom-K01809,Diatom,2018,K01809,-2.02611561,day11
Diatom-K01810,Diatom,2018,K01810,0.788185626,day11
Diatom-K01845,Diatom,2018,K01845,-0.578146916,day11
Diatom-K01869,Diatom,2018,K01869,-1.111965763,day11
Diatom-K01870,Diatom,2018,K01870,-2.628629435,day11
Diatom-K01874,Diatom,2018,K01874,-1.87871962,day11
Diatom-K01880,Diatom,2018,K01880,-0.942340318,day11
Diatom-K01881,Diatom,2018,K01881,-1.166684778,day11
Diatom-K01897,Diatom,2018,K01897,0.864622671,day11
Diatom-K01899,Diatom,2018,K01899,1.924320374,day11
Diatom-K01953,Diatom,2018,K01953,0.575851909,day11
Diatom-K01969,Diatom,2018,K01969,2.20745701,day11
Diatom-K02112,Diatom,2018,K02112,2.1453217,day11
Diatom-K02115,Diatom,2018,K02115,-0.5163027,day11
Diatom-K02133,Diatom,2018,K02133,-2.40087366,day11
Diatom-K02144,Diatom,2018,K02144,-1.301965089,day11
Diatom-K02183,Diatom,2018,K02183,1.626713739,day11
Diatom-K02232,Diatom,2018,K02232,6.481046985,day11
Diatom-K02293,Diatom,2018,K02293,-0.952753664,day11
Diatom-K02355,Diatom,2018,K02355,-2.614188662,day11
Diatom-K02519,Diatom,2018,K02519,-1.344890992,day11
Diatom-K02575,Diatom,2018,K02575,2.808558019,day11
Diatom-K02638,Diatom,2018,K02638,2.210474998,day11
Diatom-K02639,Diatom,2018,K02639,-1.628573109,day11
Diatom-K02693,Diatom,2018,K02693,1.112121161,day11
Diatom-K02719,Diatom,2018,K02719,0.724253697,day11
Diatom-K02730,Diatom,2018,K02730,0.970600975,day11
Diatom-K02880,Diatom,2018,K02880,-3.16106605,day11
Diatom-K02894,Diatom,2018,K02894,-1.032767657,day11
Diatom-K02896,Diatom,2018,K02896,-1.123823155,day11
Diatom-K02900,Diatom,2018,K02900,-1.177877695,day11
Diatom-K02905,Diatom,2018,K02905,-2.170305778,day11
Diatom-K02908,Diatom,2018,K02908,-1.435735336,day11
Diatom-K02915,Diatom,2018,K02915,-1.001223986,day11
Diatom-K02930,Diatom,2018,K02930,0.741192209,day11
Diatom-K02938,Diatom,2018,K02938,-1.309665284,day11
Diatom-K02940,Diatom,2018,K02940,1.017541323,day11
Diatom-K02943,Diatom,2018,K02943,-1.054128775,day11
Diatom-K02951,Diatom,2018,K02951,2.627677681,day11
Diatom-K02953,Diatom,2018,K02953,-6.154186939,day11
Diatom-K02955,Diatom,2018,K02955,-1.942961286,day11
Diatom-K02962,Diatom,2018,K02962,1.488152109,day11
Diatom-K02966,Diatom,2018,K02966,0.052901495,day11
Diatom-K02969,Diatom,2018,K02969,-1.214251484,day11
Diatom-K02976,Diatom,2018,K02976,6.092404542,day11
Diatom-K02981,Diatom,2018,K02981,-1.05257399,day11
Diatom-K02984,Diatom,2018,K02984,0.586958161,day11
Diatom-K02987,Diatom,2018,K02987,-0.849722776,day11
Diatom-K03070,Diatom,2018,K03070,-1.633425505,day11
Diatom-K03086,Diatom,2018,K03086,1.425839501,day11
Diatom-K03231,Diatom,2018,K03231,-2.86031373,day11
Diatom-K03234,Diatom,2018,K03234,-0.719061997,day11
Diatom-K03235,Diatom,2018,K03235,-2.035467415,day11
Diatom-K03247,Diatom,2018,K03247,1.308163056,day11
Diatom-K03321,Diatom,2018,K03321,1.606835897,day11
Diatom-K03403,Diatom,2018,K03403,0.044739378,day11
Diatom-K03404,Diatom,2018,K03404,-0.523080088,day11
Diatom-K03522,Diatom,2018,K03522,1.899073407,day11
Diatom-K03671,Diatom,2018,K03671,-0.844623163,day11
Diatom-K03676,Diatom,2018,K03676,0.673512615,day11
Diatom-K03695,Diatom,2018,K03695,-1.423490649,day11
Diatom-K03773,Diatom,2018,K03773,1.062998867,day11
Diatom-K03839,Diatom,2018,K03839,2.787392299,day11
Diatom-K03969,Diatom,2018,K03969,-1.828286319,day11
Diatom-K04079,Diatom,2018,K04079,2.804010686,day11
Diatom-K04498,Diatom,2018,K04498,1.039179679,day11
Diatom-K04688,Diatom,2018,K04688,-2.015758211,day11
Diatom-K04712,Diatom,2018,K04712,-1.982840608,day11
Diatom-K05034,Diatom,2018,K05034,1.150272616,day11
Diatom-K05643,Diatom,2018,K05643,2.143724121,day11
Diatom-K05656,Diatom,2018,K05656,-4.874037651,day11
Diatom-K06027,Diatom,2018,K06027,-1.071532358,day11
Diatom-K06118,Diatom,2018,K06118,-1.344079694,day11
Diatom-K06207,Diatom,2018,K06207,-1.451285758,day11
Diatom-K06215,Diatom,2018,K06215,-1.90125526,day11
Diatom-K06670,Diatom,2018,K06670,-1.679906629,day11
Diatom-K07124,Diatom,2018,K07124,6.644244416,day11
Diatom-K07178,Diatom,2018,K07178,-4.611401369,day11
Diatom-K07300,Diatom,2018,K07300,1.679362293,day11
Diatom-K07374,Diatom,2018,K07374,-1.545969068,day11
Diatom-K07436,Diatom,2018,K07436,1.44887686,day11
Diatom-K07508,Diatom,2018,K07508,1.640889913,day11
Diatom-K07509,Diatom,2018,K07509,1.398316297,day11
Diatom-K07511,Diatom,2018,K07511,3.420779495,day11
Diatom-K07515,Diatom,2018,K07515,-1.000334567,day11
Diatom-K08490,Diatom,2018,K08490,-1.498608416,day11
Diatom-K08738,Diatom,2018,K08738,-0.83344093,day11
Diatom-K08803,Diatom,2018,K08803,4.905090245,day11
Diatom-K08907,Diatom,2018,K08907,-1.711821806,day11
Diatom-K08910,Diatom,2018,K08910,1.367511842,day11
Diatom-K09486,Diatom,2018,K09486,-1.230736936,day11
Diatom-K09487,Diatom,2018,K09487,-1.130185284,day11
Diatom-K09490,Diatom,2018,K09490,-1.615668094,day11
Diatom-K09523,Diatom,2018,K09523,-1.392034885,day11
Diatom-K09864,Diatom,2018,K09864,1.58321366,day11
Diatom-K10151,Diatom,2018,K10151,1.627161091,day11
Diatom-K10249,Diatom,2018,K10249,-1.226185764,day11
