"","KO","Gene_identification","A","B","C","D","Target","Target_2","Category","GeneID","Full_GeneName","Notes"
"1","K09377","CSRP; cysteine and glycine-rich protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","K03283","HSPA1_8; heat shock 70kDa protein 1/8","Structural complex","Genetic information processing","Spliceosome","Spliceosome, 35S U5-snRNP","Phagotrophy","Endocytosis","Endocytosis","HSPA1_8","Heat shock 70kDa protein 1/8","McKie-Krisberg et al. 2018; Yutin et al. 2009"
"3","K03283","HSPA1_8; heat shock 70kDa protein 1/8","Structural complex","Genetic information processing","Spliceosome","Spliceosome, Prp19/CDC5L complex","Phagotrophy","Endocytosis","Endocytosis","HSPA1_8","Heat shock 70kDa protein 1/8","McKie-Krisberg et al. 2018; Yutin et al. 2009"
"4","K08843","LRRK1; leucine-rich repeat kinase 1 [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","K15986","ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","K00088","IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]","Pathway module","Nucleotide and amino acid metabolism","Purine metabolism","Guanine ribonucleotide biosynthesis IMP => GDP,GTP",NA,NA,NA,NA,NA,NA
"7","K01279","TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","K02966","RP-S19e, RPS19; small subunit ribosomal protein S19e","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"9","K02966","RP-S19e, RPS19; small subunit ribosomal protein S19e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"10","K00898","PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
